,/lpc/nct6793d/control/0,/lpc/nct6793d/control/1,/lpc/nct6793d/control/2,/lpc/nct6793d/control/3,/lpc/nct6793d/control/4,/lpc/nct6793d/control/5,/lpc/nct6793d/voltage/0,/lpc/nct6793d/voltage/1,/lpc/nct6793d/voltage/2,/lpc/nct6793d/voltage/3,/lpc/nct6793d/voltage/4,/lpc/nct6793d/voltage/5,/lpc/nct6793d/voltage/6,/lpc/nct6793d/voltage/7,/lpc/nct6793d/voltage/8,/lpc/nct6793d/voltage/9,/lpc/nct6793d/voltage/10,/lpc/nct6793d/voltage/11,/lpc/nct6793d/voltage/12,/lpc/nct6793d/voltage/13,/lpc/nct6793d/voltage/14,/lpc/nct6793d/temperature/0,/lpc/nct6793d/temperature/1,/lpc/nct6793d/temperature/2,/lpc/nct6793d/temperature/3,/lpc/nct6793d/temperature/4,/lpc/nct6793d/temperature/5,/lpc/nct6793d/temperature/6,/lpc/nct6793d/fan/1,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/level/0,/hdd/0/data/0,/hdd/0/load/0,/hdd/0/temperature/0,/hdd/0/factor/0,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/4/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Fan Control #6","CPU VCore","Voltage #2","AVCC","3VCC","Voltage #5","Voltage #6","Voltage #7","3VSB","VBAT","VTT","Voltage #11","Voltage #12","Voltage #13","Voltage #14","Voltage #15","CPU Core","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #2","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Remaining Life","Total Bytes Written","Used Space","Temperature","Write Amplification","Temperature","Used Space","Used Space"
10/23/2022 11:45:33,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,39,33.5,118,30,112,111,111,1197.87048,21.875,28.125,9.375,18.75,19.53125,37,39,38,38,39,2100.00122,2100.00122,3300.002,3300.002,14.9443026,2.21917868,0.9527259,0.486411244,100.000061,53.07844,8.422958,7.44593048,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,17.0360012,0,0,19,27282.8574,98.28645,34,0.1611664,34,86.846,6.26303864
10/23/2022 11:45:38,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.45600003,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,33.5,118,30,112,111,111,1175.95813,20.3125,12.5,20.3125,28.125,20.3125,38,46,38,38,46,3300.00342,3300.00342,3300.00342,3300.00342,16.6360664,3.88320041,0.9960359,0.435388744,100.0001,53.186348,8.440083,7.4288063,33,300,405.000031,0,0,0,0,0,29,1018,8192,209.03125,7982.96875,2.551651,16.59,0,0,19,27282.8574,98.28645,34,0.1611664,34,86.846,6.26303864
10/23/2022 11:45:43,61.9607849,33.72549,49.80392,49.80392,49.80392,49.80392,0.496000022,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,42,34,118,30,112,111,111,1352.70544,14.0625,25,32.8125,17.1875,22.265625,39,44,39,42,42,3300.00269,3300.00269,3300.00269,3300.00269,20.6345081,7.650667,1.19633782,0.581753135,100.000084,54.19646,8.600376,7.26851273,33,300,405.000031,0,0,0,0,0,29,1022,8192,209.03125,7982.96875,2.551651,16.812,0,0,19,27282.8574,98.28645,34,0.1611664,34,86.846,6.26303864
10/23/2022 11:45:48,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.488000035,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,42,34,118,30,112,111,111,1226.15808,34.375,35.9375,31.25,35.9375,34.375,45,41,39,39,45,3300.00171,3300.00171,3400.00171,3300.00171,19.9378929,6.962145,1.17125809,0.7236154,100.000046,53.5451775,8.497025,7.37186432,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,16.7860012,0,0,19,27282.8574,98.28645,34,0.1611664,34,86.846,6.26303864
10/23/2022 11:45:53,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.448,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,41,34,118,30,112,111,111,1215.12146,26.5625,23.4375,26.5625,23.4375,25,39,40,38,37,40,1500.00073,3000.00146,3300.00171,3400.00171,17.7039375,4.890809,1.04486716,0.57400924,100.000046,53.44854,8.481689,7.3871994,33,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,17.17,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:45:58,62.7451,34.11765,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34,119,30,112,111,111,1266.4165,14.0625,14.0625,15.625,10.9375,13.671875,37,40,39,37,40,1300.00122,2100.002,2100.002,2100.002,14.9806423,2.301596,0.9219409,0.436776131,100.000092,53.4562569,8.482914,7.385975,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,17.019001,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:46:03,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34,118,30,112,111,111,1235.13269,21.53846,26.1538448,19.9999981,24.6153831,23.0769215,37,40,38,39,40,800.000366,1800.00073,1800.00073,2900.00122,14.4435511,1.77900839,0.906260669,0.44778,100.000046,53.80713,8.538593,7.33029556,33,300,405.000031,0,0,0,0,0,29,1019,8192,209.03125,7982.96875,2.551651,17.012001,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:46:08,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.928000033,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34,119,30,112,111,111,1228.3894,14.0625,25,23.4375,26.5625,22.265625,37,40,38,38,40,799.9998,799.9998,1999.99951,1999.99951,15.5390511,2.84553576,0.9450346,0.466325253,99.99998,53.76448,8.531826,7.337063,33,300,405.000031,0,0,0,0,0,29,1020,8192,209.03125,7982.96875,2.551651,16.974,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
10/23/2022 11:46:13,63.92157,35.294117,49.80392,49.80392,49.80392,49.80392,0.36,1.024,3.37600017,3.31200027,1,0.15200001,0.936000049,3.36000013,3.12000012,0.984,0.144000009,0.128,0.136,0.120000005,0.136,40,34,118,30,112,111,111,1243.09387,19.9999981,23.0769215,24.6153831,18.4615364,21.53846,43,40,38,40,43,3000,3000,3000,3000,15.5211964,2.81100655,0.9486004,0.454294771,100,53.71244,8.523567,7.34532166,33,300,405.000031,0,0,0,0,0,29,1021,8192,209.03125,7982.96875,2.551651,17.1010017,0,0,19,27282.8613,98.28688,28,0.161166519,34,86.846,6.26303864
